Work Title,Name Translations,Name Aliases,Authorities,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Year/Date of Composition,First Publication,Copyright Information,Dedication,Average Duration,Composer Time Period,Piece Style,url
Cello Concerto,,,,"Prokofiev, Sergey",Op.58,ISP 4,E minor,"3 movements
Andante – Poco meno mosso (andante assai) – Adagio
Allegro giusto
Tema (allegro) – Interludio 1 – Variations 1–3 – Interludio 2 – Variation 4 –
Reminiscenza (meno mosso) – Coda (poco sostenuto) – Più mosso","1933-38
First Perf
ormance
.
1938-11-26 in Moscow, USSR State Symphony Orchestra
Lev Berezovsky (cello), Alexander Melik-Pashayev (conductor)",1951?,,,35 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Cello_Concerto,_Op.58_(Prokofiev,_Sergey)"
Cello Sonata,,,,"Prokofiev, Sergey",Op.119,ISP 5,C major,"3 movements:
Andante grave (
= 54) - Moderato animato (
= 100) - Andante - Andante grave, come prima
Moderato (
= 96) - Andante dolce (
= 60) - Moderato primo
Allegro, ma non troppo","1949
First Perf
ormance
.
1950-03-01 — Moscow: Mstislav Rostropovich (cello), Sviataslov Richter (piano)","1951 — Moscow:
Muzgiz",,,25 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Cello_Sonata,_Op.119_(Prokofiev,_Sergey)"
2 Choral Songs,,,,"Prokofiev, Sergey",Op.66a,ISP 85,,"2 songs:
Partizan Zheleznyak [Партизан Железняк]
Anyutka [Анютка]",1935,"1935
Librettist
see below
1.
Mikhail Golodny
(1903-1949)
2. Folk Song
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/2_Choral_Songs,_Op.66a_(Prokofiev,_Sergey)"
"Chout Suite, Op.21bis",,,,"Prokofiev, Sergey",Op.21bis,ISP 6,,12 movements,1920,,,,31 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Chout_Suite,_Op.21bis_(Prokofiev,_Sergey)"
"Chout
Skazka pro shuta [The Tale of the Buffoon]",,,,"Prokofiev, Sergey",Op.21,ISP 7,,6 Scenes,"1915 ; rev. 1920
First Perf
ormance
.
1921-05-17 in Paris, Gaîté Lyrique
Sergey Prokofiev (conductor)
Librettist
Sergei Diaghilev (1872-1929), scenario",,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Chout,_Op.21_(Prokofiev,_Sergey)"
Cinderella (1st suite),,,,"Prokofiev, Sergey",Op.107,ISP 8,,"8 pieces:
Introduction (Вступление)
Pas de châle (Танец с шалями)
Quarrel (Ссора)
The Fairy Godmother and Winter Fairy (Фея-бабушка и фея Зимы)
Mazurka (Мазурка)
Cinderella Goes to the Ball (Отъезд Золушки на бал)
Cinderella's Waltz (Вальс Золушки)
Midnight (Полночь)","1946
First Perf
ormance
.
1946-11-12 — Moscow: Abram Stasevich (conductor)",1949 — London: Anglo-Soviet Music Press / Boosey & Hawkes / Anglo-Soviet Music Press,,,32 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Cinderella_(1st_suite),_Op.107_(Prokofiev,_Sergey)"
Cinderella (3rd suite),,,,"Prokofiev, Sergey",Op.109,ISP 111,,,1946,1954,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Cinderella_(3rd_suite),_Op.109_(Prokofiev,_Sergey)"
Cinderella,,,,"Prokofiev, Sergey",Op.87,ISP 9,,3 Acts,"1944
First Perf
ormance
.
1945-11-21 in Moscow, Bolshoy Theater
Bolshoy Orchestra, Yuri Fayer (conductor)","1954 -
Moscow: Muzgiz",,,1.5 to 2 hours,Early 20th century,Early 20th century,"https://imslp.org/wiki/Cinderella,_Op.87_(Prokofiev,_Sergey)"
Divertissement,,,,"Prokofiev, Sergey",Op.43,ISP 10,,"4 movements:
Moderato, molto ritmato
Larghetto (non troppo lento) [""Nocturne"" (Ноктюрн)]
Allegro energico [""Dance"" (Танец)]
Allegro non troppo e pesante [""Epilogue"" (Эпилог)]
Bracketed titles appear in the piano arrangement only","1925–29
First Perf
ormance
.
1929-12-22 — Paris: Sergey Prokofiev (conductor)","1930 — Paris:
Editions Russes de Musique
. Plate R.M.V. 489",,,15 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Divertissement,_Op.43_(Prokofiev,_Sergey)"
2 Duets,,,,"Prokofiev, Sergey",Op.106,ISP 86,,"2 duets:
Every Man Marries [Всякой на свете-то женится]
The Road to Moscow [Московская славна путь-дорожка]",1945,"1946
Librettist
Folk Song
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/2_Duets,_Op.106_(Prokofiev,_Sergey)"
Egyptian Nights,,,,"Prokofiev, Sergey",Op.61,ISP 103,,7 movements,1934,1938,,,25 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Egyptian_Nights,_Op.61_(Prokofiev,_Sergey)"
L'enfant prodigue,"Le Fils prodigue
;
The Prodigal Son
;
放蕩息子 (バレエ)
;
El fill pròdig
;
Блудный сын
;
El hijo pródigo
;
浪子
;
Il figliol prodigo (Prokof'ev)
;
Izgubljeni sin",浪子回头,"Wikipedia
;
BNF
:
15811793f","Prokofiev, Sergey",Op.46,ISP 112,,3 scenes (10 movements),"1928-29
First Perf
ormance
.
1929/5/21
Paris: Théâtre Sarah Bernhardt - Ballets Russes","1929 (piano reduction, parts)
1978–79 (full score for purchase)
Librettist
Boris Kochno
(1904-1990) (scenario/libretto)",,"Sergei Diaghilev
(1872–1929)",35 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/L%27enfant_prodigue,_Op.46_(Prokofiev,_Sergey)"
Four Etudes,,,,"Prokofiev, Sergey",Op.2,ISP 11,,"4 pieces
Allegro in D minor
Moderato in E minor
Andante semplice in C minor
Presto energico in C minor","1909
First Perf
ormance
.
1910-03-06 in Moscow
Sergey Prokofiev (piano) — Nos.1, 2 and 4 only","1912 - Moscow:
P. Jurgenson",,Aleksandr Winkler,10-11 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/4_Etudes,_Op.2_(Prokofiev,_Sergey)"
Festive Poem,,,,"Prokofiev, Sergey",Op.113,ISP 109,"A major
First Perf
ormance
.
1947/10/03
Performed by USSR State Symphony Orchestra, conducted by Constantin Ivanov in Moscow.",,,1947,,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Festive_Poem,_Op.113_(Prokofiev,_Sergey)"
The Fiery Angel [=Огненный ангел],,,,"Prokofiev, Sergey",Op.37,ISP 95,,"5 acts, 7 scenes","1919-27
First Perf
ormance
.
Paris: Opéra, 1928-6-14, cond. Serge Koussevitzky (abridged version only)
Paris: Théâtre des Champs-Élysées, 1954-11-25, cond. Charles Bruck (full version, concert premiere)
Venice: La Fenice, 1955-9-29, cond. Nino Sanzogno (full version, stage premiere)
St. Petersburg: Mariinsky Theatre, 1991-12-29, cond. Edward Downes (Russian premiere)","1927
Published in vocal score with German text only by
Gutheil
and Delanchy-Dupré in 1927. Edition prepared in advance of a cancelled Berlin premiere and used for rehearsal. Reportedly a reproduction of a copyist manuscript made of Prokofiev's original piano-vocal arrangement.","The French version translated by Mikhail Fyorodovich Astrov (1907–1996) cannot be posted here.
Librettist
Composer after
Valery Bryusov
's novel
Ognenny Angel
(pub.1907-8)
Language
Russian",,125 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/The_Fiery_Angel,_Op.37_(Prokofiev,_Sergey)"
Flute Sonata,"Sonate voor fluit en piano
;
Sonate for fløjte og klaver
;
Sonate pour flûte et piano de Prokofiev
;
Sonate D-Dur für Flöte und Klavier
;
Sonata fletowa
;
Sonata para flauta
;
Sonata per a flauta","Sonata per a flauta i piano (Prokófiev)
;
Sonate D-Dur op. 94 für Flöte und Klavier
;
Sonate voor fluit en piano (Prokofjev)",Wikipedia,"Prokofiev, Sergey",Op.94,ISP 12,,"4 movements:
Moderato
Scherzo
Andante
Allegro con brio","1943
First Perf
ormance
.
1943-12-07 in Moscow
Nikolay Kharkovsky (flute), Sviatoslav Richter (piano)",1944,,,25 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Flute_Sonata,_Op.94_(Prokofiev,_Sergey)"
The Gambler,,,,"Prokofiev, Sergey",Op.24,ISP 92,,"4 acts, 6 scenes","1915-17, rev. 1927-28
First Perf
ormance
.
1929/04/29","1917
Librettist
Composer, after
Fyodor Dostoevsky
(1821-1881)
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/The_Gambler,_Op.24_(Prokofiev,_Sergey)"
Hamlet. Incidental music for small orchestra,,,,"Prokofiev, Sergey",Op.77,ISP 13,,,"1937–38
First Perf
ormance
.
1938-05-15 in Leningrad, Radlov Theatre-Studio: Sergey Radlov (director)","1938
Librettist
Boris Pasternak
(1890-1960) and
Anna Radlova
(1891-1949), after
William Shakespeare
(1564-1616)
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Hamlet,_Op.77_(Prokofiev,_Sergey)"
Ivan the Terrible,"Иван Грозный
;
Ivan el Terrible
;
Iwan, der Schreckliche
;
Ivan le Terrible
;
Ivano la Terura
;
イワン雷帝
;
Ivan il Terribile (Prokof'ev)",,Wikipedia,"Prokofiev, Sergey",Op.116,ISP 14,,33,1942-45,"1944 (Part I)
1958 (Part II)
Librettist
Sergey Eisenstein
(1898-1948)
Vladimir Lugovskoy
(1901-1957)
Language
Russian",,,80 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Ivan_the_Terrible,_Op.116_(Prokofiev,_Sergey)"
Lieutenant Kijé. Symphonic suite,"Lieutenant Kijé (Prokofiev)
;
Poročnik Kiže
;
El tinent Kijé
;
Leutnant Kishe
;
キージェ中尉
;
לייטננט קיז'ה
;
Poroetsjik Kizje: Symfonische suite opus 60
;
El teniente Kijé
;
Поручик Киже
;
Poruchik Kizhe
;
Lieutenant Kijé
;
Լեյտենանտ Կիժե
;
Υπολοχαγός Κιζέ
;
基杰中尉
;
Il tenente Kize","Lieutenant Kijé de Prokofiev
;
Poročnik Kijé
;
Tinent Kije
;
Poroetsjik Kizje : Symfonische suite opus 60
;
El teniente Kije
;
El teniente Kizhe
;
O tenente Kizhe
;
Lieutenant Kije
;
Υπολοχαγός Κιγιέ","WorldCat
;
Wikipedia
;
VIAF
:
174602021
;
LCCN
:
n84072858
;
GND
:
300121636","Prokofiev, Sergey",Op.60,ISP 15,,"5 movements:
Birth of Kijé (Рождение Киже)
Romance (Романс)
Kijé's Wedding (Свадьба Киже)
Troika (Тройка)
Kijé's Funeral (Похороны Киже)","1934
First Perf
ormance
.
1934-12-21 in Moscow (radio broadcast)","1935 - Paris:
Gutheil
Librettist
Yury Tynyanov
(1894–1943)
Language
Russian",,,21 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Lieutenant_Kij%C3%A9_(suite),_Op.60_(Prokofiev,_Sergey)"
The Love for Three Oranges,"O Amor das Três Laranjas
;
Miłość do trzech pomarańczy
;
세 개의 오렌지에 대한 사랑
;
Любовь к трём апельсинам
;
L'Amour des trois oranges
;
אהבה לשלושה תפוזים
;
El amor de las tres naranjas
;
Zaljubljen u tri narandže
;
Заљубљен у три наранџе
;
L'amor de les tres taronges
;
Rakkaus kolmeen appelsiiniin
;
Любов до трьох апельсинів
;
L'amore delle tre melarance
;
O amor das tres laranxas
;
Armastus kolme apelsini vastu
;
Die Liebe zu den drei Orangen
;
三つのオレンジへの恋
;
Zaljubljen v tri oranže
;
Kärleken till de tre apelsinerna
;
Dragostea celor trei portocale
;
Láska ke třem pomerančům
;
三橘愛
;
A három narancs szerelmese
;
La Amo por Tri Oranĝoj
;
Kærligheden til de tre appelsiner
;
Liefde vir drie Lemoene","Lyubov k Tryom Apelsinam
;
3개의 오렌지를 향한 사랑
;
세개의 오렌지에 대한 사랑
;
Любовь к трем апельсинам
;
Lioubov k triom apelsinam
;
אהבה לשלושת התפוזים
;
L’amor de les tres taronges
;
Ljubow k trjom apelsinam
;
3つのオレンジへの恋
;
L'amour des trois oranges
;
Ljubov k trjom apelsinam","WorldCat
;
Wikipedia
;
VIAF
:
185085020
;
LCCN
:
n80020329
;
GND
:
300121555
;
SELIBR
:
171147
;
NLA
:
35575246","Prokofiev, Sergey",Op.33,ISP 16,,"prologue, 4 acts (10 scenes)","1919
First Perf
ormance
.
1921-12-30 in Chicago, Auditorium Theatre
Chicago Opera, Sergey Prokofiev (conductor)
French translation by
Vera Janacópulos
(1896–1955)","1922 - Paris:
A. Gutheil
, Plate A 10921 G. (vocal score, orchestra parts)
Librettist
Composer, after a Russian adaptation by
Vsevolod Meyerhold
(1874-1940) of the Italian play
L'amore delle tre melarance
by
Carlo Gozzi
(1720-1806)
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/The_Love_for_Three_Oranges_(opera),_Op.33_(Prokofiev,_Sergey)"
The Love for Three Oranges. Symphonic suite from the opera,,,,"Prokofiev, Sergey",Op.33b,ISP 17,,"6 movements:
Les ridicules (Чудаки)
Le magicien Tchélio et Fata Morgana (Сцена в аду)
Marche (Марш)
Scherzo (Скерцо)
Le Prince et la Princesse (Принц и принцесса)
La fuite (Побег)","1919, revised 1924
First Perf
ormance
.
1925-11-29 in Paris
Philippe Gaubert (conductor)","1922 - Paris:
Gutheil",,,20 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/The_Love_for_Three_Oranges_(suite),_Op.33bis_(Prokofiev,_Sergey)"
March,,,,"Prokofiev, Sergey",Op.99,ISP 18,B-flat major,,1943,1946,,,2 minutes,Early 20th century,Modern,"https://imslp.org/wiki/March,_Op.99_(Prokofiev,_Sergey)"
5 Mélodies,,,,"Prokofiev, Sergey",Op.35,ISP 19,,"5 pieces
Andante
Lento, ma non troppo
Animato, ma non allegro
Andantino, un poco scherzando
Andante non troppo",1920,"1922 - Paris:
Editions Russes de Musique
(voice and piano), 1925  (violin and piano)",,"Nina Koshetz
(1891–1965)",13 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/5_M%C3%A9lodies,_Op.35_(Prokofiev,_Sergey)"
Music for Children,"Musiques d'enfants
;
Musik für Kinder
;
Детская музыка
;
Μουσική για Παιδιά","Zwölf Kinderstücke
;
Douze pièces enfantines
;
Music for Children. 12 Easy Pieces for Piano
;
Детская музыка. 12 легких пьес для ф-п.",,"Prokofiev, Sergey",Op.65,ISP 20,,"12 pieces:
Morning (Утро)
Promenade (Прогулка)
A Little Story (Сказочка)
Tarantella (Тарантелла)
Regret (Раскаяние)
Waltz (Вальс)
Parade of the Grasshoppers (Шествие кузнечиков)
The Rain and the Rainbow (Дождь и радуга)
Playing Tag (Пятнашки)
March (Марш)
Evening (Вечер)
The Moon Strolls in the Meadow (Ходит месяц над лугами)","1935
First Perf
ormance
.
1936-04-11 in Moscow: Sergey Prokofiev (piano)","1935 - Berlin:
Editions Russes de Musique
. Plates R.M.V. 617–628.",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Music_for_Children,_Op.65_(Prokofiev,_Sergey)"
On Guard for Peace,,,,"Prokofiev, Sergey",Op.124,ISP 107,,10 movements,"1949-50
First Perf
ormance
.
1950/12/19 in Moscow
Samuil Samosud conducting the USSR All-Union Radio Symphony Orchestra","1952
Librettist
Samuil Marshak
(1887-1964)
Language
Russian",,,37 minutes,Early 20th century,Modern,"https://imslp.org/wiki/On_Guard_for_Peace,_Op.124_(Prokofiev,_Sergey)"
"Ouverture Russe, Op.72",,,,"Prokofiev, Sergey",Op.72,ISP 21,,,1936,1937,,,14 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Ouverture_russe,_Op.72_(Prokofiev,_Sergey)"
Overture on Hebrew Themes,,,,"Prokofiev, Sergey",Op.34,ISP 22,,1 piece,"1919
First Perf
ormance
.
1920-01-26 in New York
Zimro Ensemble, Sergey Prokofiev (piano)","1922 - Paris:
A. Gutheil",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Overture_on_Hebrew_Themes,_Op.34_(Prokofiev,_Sergey)"
Le pas d'acier,,,,"Prokofiev, Sergey",Op.41,ISP 104,,"11 movements
Entrée des personnages
Train des paysans-ravitailleurs
Les commissaires
Les petits camelots
L'orateur
Matelot à bracelets et ouvrière
Changement de décors
Le matelot devient un ouvrier
L'usine
Les marteaux
Finale","1925-26
First Perf
ormance
.
1927/06/07","1928 (piano reduction; full score through rental catalogue)
1930 (suite of dances, Op.41bis)
1986 (complete work in full score, for sale)
Librettist
Composer and
Georgy Yakulov
(1884-1928) (
scenario
)",,"Sergei Diaghilev
(1872–1929)",30 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Le_pas_d%27acier,_Op.41_(Prokofiev,_Sergey)"
Pensées,,,,"Prokofiev, Sergey",Op.62,ISP 23,,"3 pieces:
Adagio penseroso. Moderato
Lento
Andante","1933–34
First Perf
ormance
.
1936-11-13 — Moscow: Sergey Prokofiev (piano)","1935 — Paris:
Editions Russes de Musique",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Pens%C3%A9es,_Op.62_(Prokofiev,_Sergey)"
Peter and the Wolf,"Peter en de wolf
;
Pere i el llop
;
Peter og ulven
;
Peter und der Wolf
;
Pedro y el lobo
;
پیتر و گرگ
;
Pekka ja susi
;
Pierre et le Loup
;
פטר והזאב
;
Pierino e il lupo
;
ピーターと狼
;
피터와 늑대
;
Pedro e o Lobo
;
Петя и волк
;
Peter in volk
;
Peter och vargen
;
彼得和狼
;
Pēterītis un vilks
;
Péter és a farkas
;
Peća i vuk
;
Pedr a'r Blaidd
;
Petro kaj la Lupo
;
بيتر والذئب
;
Петрик і вовк
;
Петре и волкот
;
Pedro eta otsoa
;
Peter ve Kurt","ペーチャと狼
;
Peru eta otsoa
;
Peio eta otsoa","WorldCat
;
Wikipedia
;
VIAF
:
265883445
;
GND
:
300121628
;
BNF
:
13917227m","Prokofiev, Sergey",Op.67,ISP 24,,15 sections,"1936
First Perf
ormance
.
1936-05-02 — Moscow, Nezlobin Theatre: Sergey Prokofiev (conductor)","1937 — Moscow: (Muzgiz)
Librettist
Composer
Language
Russian",,,,Early 20th century,Early 20th century,"https://imslp.org/wiki/Peter_and_the_Wolf,_Op.67_(Prokofiev,_Sergey)"
Piano Concerto No.1,,,,"Prokofiev, Sergey",Op.10,ISP 93,D-flat major,"3 movements (played without interruption):
Allegro brioso (
= 88) - Animato -
Andante assai - tranquillo, descrescendo e ritardando -
Allegro scherzando - Cadenza - Poco più sostenuto - Animato","1911–12
First Perf
ormance
.
1912-08-07 in Moscow
Sergey Prokofiev (piano), Konstantin Saradzhev (conductor)","1912 - Moscow:
P. Jurgenson",,Nikolay Tcherepnin,15 minutes,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Concerto_No.1,_Op.10_(Prokofiev,_Sergey)"
Piano Concerto No.2,,,,"Prokofiev, Sergey",Op.16,ISP 25,G minor,"4 movements:
Andantino
Scherzo. Vivace
Intermezzo. Allegro moderato
Finale. Allegro tempestoso","1912-13
A
; 1923
B
First Perf
ormance
.
1913-09-05 in Pavlovsk (Version
A
)
Sergey Prokofiev (piano), Aleksandr Aslanov (conductor)
1924-05-08 in Paris (Version
B
)
Sergey Prokofiev (piano), Serge Koussevitzky (conductor)","1925 — Moscow:
A. Gutheil
B",,Maksimilian Anatol'yevich Shmidtgof (1892-1913),,Early 20th century,Early 20th century,"https://imslp.org/wiki/Piano_Concerto_No.2,_Op.16_(Prokofiev,_Sergey)"
