,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,Year/Date of Composition,Name Translations,Authorities,Average Duration,First Publication,Dedication,Name Aliases,Language,Copyright Information
494824,"Fantasia super 'Komm, Heiliger Geist'","Bach, Johann Sebastian","BWV 651, 651a ; BC K 74",IJB 164,F major,1 chorale prelude (106 bars),Baroque,Baroque,Piano,"https://imslp.org/wiki/Fantasia_super_%27Komm,_Heiliger_Geist%27,_BWV_651_(Bach,_Johann_Sebastian)","Fantasia super 'Komm, Heiliger Geist', canto fermo in Pedale","1747-48 in
18 Chorale Preludes
(No.1)",,,,".
1846 or before",,,,
06427,Partita in A major,"Graupner, Christoph",GWV 849 ; BWV 838 (2nd and 3rd movements),ICG 1142,A major,"5 movements
Prelude
Allemande
Courante
Sarabande
Aria",Baroque,Baroque,Piano,"https://imslp.org/wiki/Allemande_and_Courante_in_A_major,_BWV_838_(Bach,_Johann_Sebastian)",,,,,,,,,,
03148,12 German Dances,"Schubert, Franz",D.790 ; Op.171,IFS 270,,12 dances,Romantic,Romantic,Piano,"https://imslp.org/wiki/12_German_Dances,_D.790_(Schubert,_Franz)",12 Ländler,1823,,,,".
1864",,,,
24307,"12 Variations on ""La belle françoise""","Mozart, Wolfgang Amadeus",K.353 ; K⁶.300f,IWM 610,E-flat major,13 sections,Classical,Classical,Piano,"https://imslp.org/wiki/12_Variations_on_%22La_belle_fran%C3%A7oise%22,_K.353/300f_(Mozart,_Wolfgang_Amadeus)",Variationen über La belle françoise,1780–82,Douze variations sur «La belle Françoise»,"WorldCat
;
VIAF
:
179502281
;
GND
:
300111819
;
BNF
:
13940802v",,".
1786 - Wien: Artaria",,"KV 353
;
KV 300f
;
K. 353
;
K. 300f",,
01008,Prelude and Fugue No.4 in C-sharp minor,"Bach, Johann Sebastian",BWV 849 ; BC L 83,IJB 513,C-sharp minor,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_C-sharp_minor,_BWV_849_(Bach,_Johann_Sebastian)",Præludium et Fuga a 5 voci,"1722 in
Das wohltemperierte Klavier I
(No.4)","Präludium und Fuge cis-Moll BWV 849
;
Prélude et fugue en ut dièse mineur (BWV 849)
;
Preludi i fuga en do sostingut menor (BWV 849)
;
Прелюдия и фуга до-диез минор, BWV 849","WorldCat
;
Wikipedia
;
VIAF
:
293944028
;
GND
:
300011938
;
BNF
:
13944714j",,".
1801",,,,
01028,Prelude and Fugue No.24 in B minor,"Bach, Johann Sebastian",BWV 869 ; BC L 103,IJB 495,B minor,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_B_minor,_BWV_869_(Bach,_Johann_Sebastian)",Praeludium et Fuga a 4 voci,"1722 in
Das wohltemperierte Klavier I
(No.24)","Präludium und Fuge h-Moll BWV 869
;
Prélude et fugue en si mineur (BWV 869)
;
Прелюдия и фуга си минор, BWV 869","WorldCat
;
VIAF
:
292350012
;
GND
:
1076374948
;
BNF
:
13944930b",,".
1801",,,,
471786,Keyboard Sonata,"Haydn, Joseph","Hob.XVI:27
; Op.14 No.1",IJH 284,"board Sonata
Alt
ernative
.
Title
Klaviersonate Nr.42
Composer
Haydn, Joseph
Opus/Catalogue Number
Op./Cat. No.
Hob.XVI:27
; Op.14 No.1
I-Catalogue Number
I-Cat. No.
IJH 284
Key
G major","3 movements:
Allegro con brio (G major)
Minuet (G major) - Trio (G minor)
Finale
. Presto (G major)",Classical,Classical,Piano,"https://imslp.org/wiki/Keyboard_Sonata_in_G_major,_Hob.XVI:27_(Haydn,_Joseph)",Klaviersonate Nr.42,1774-76 ca,,,10–15 minutes,".
1778",,,,
510468,Fugierende und verändernde Choräle,"Telemann, Georg Philipp",TWV 31:1–48,IGT 200,,"48 choralbearbeitungen:
1.
Vater unser im himmelreich, TWV 31:1
2.
Vater unser im himmelreich, Alio modo (Bicinium), TWV 31:2
3.
Allein Gott in der höh sey ehr, TWV 31:3
4.
Allein Gott in der höh sey ehr, Alio modo, TWV 31:4
5.
Komm', heiliger Geist, TWV 31:5
6.
Komm', heiliger Geist, Alio modo (Bicinium), TWV 31:6
7.
Herr Jesu Christ dich zu uns wend, TWV 31:7
8.
Herr Jesu Christ dich zu uns wend, Alio modo, TWV 31:8
9.
Schmücke dich, o liebe Seele, TWV 31:9
10.
Schmücke dich, o liebe Seele, Aliter, TWV 31:10
11.
Straff mich nicht in deinem Zorn, TWV 31:11
12. Straff mich nicht in deinem Zorn (Bicinium), TWV 31:12
13. O wir armen Sünder, TWV 31:13
14. O wir armen Sünder (Bicinium), TWV 31:14
15. Alle Menschen müssen sterben, TWV 31:15
16. Alle Menschen müssen sterben, Alio modo, TWV 31:16
17. O Lamm Gottes unschuldig, TWV 31:17
18. O Lamm Gottes unschuldig, Aliter, TWV 31:18
19. Ich ruf' zu dir, Herr Jesu CHrist, TWV 31:19
20. Ich ruf' zu dir, HeErr Jesu CHrist, Aliter, TWV 31:20
21. Herzlich thut mich verlangen, TWV 31:21
22. Herzlich thut mich verlangen, Alio modo, TWV 31:22
23. Christus, der uns selig macht, TWV 31:23
24. Christus, der uns selig macht, Bicinium, TWV 31:24
25. Durch Adams Fall, TWV 31:25
26. Durch Adams Fall, Bicinium, TWV 31:26
27. Christ lag in Todes Banden, TWV 31:27
28. Christ lag in Todes Banden, (Bicinium), TWV 31:28
29. Erschienen ist der herrlich Tag, TWV 31:29
30. Erschienen ist der herrlich Tag, Bicinium, TWV 31:30
31. Herr Christ, der einig Gottes Sohn, TWV 31:31
32. Herr Christ, der einig Gottes Sohn, Bicinium, TWV 31:32
33. Jesu meine Freude, TWV 31:33
34. Jesu meine Freude, Bicinium, TWV 31:34
35. Was mein Gott will das gscheh allzeit, TWV 31:35
36. Was mein Gott will das gscheh allzeit, Bicinium, TWV 31:36
37. Wie schön leucht uns der Morgenstern, TWV 31:37
38. Wie schön leucht uns der Morgenstern, Bicinium, TWV 31:38
39. Herr Jesu Christ dich zu uns wend - Aliter, TWV 31:39
40. Herr Jesu Christ dich zu uns wend, Bicinium, TWV 31:40
41. Gott der Vatter wohn uns bey, TWV 31:41
42. Gott der Vatter wohn uns bey, Bicinium, TWV 31:42
43. Ach Gott vom Himmel sieh darein, TWV 31:43
44. Ach Gott vom Himmel sieh darein, Bicinium, TWV 31:44
45. Wer weiß wie nahe mir mein Ende, TWV 31:45
46. Wer weiß wie nahe mir mein Ende, Bicinium, TWV 31:46
47. Nun danket alle Gott, TWV 31:47
48. Nun danket alle Gott, Bicinium, TWV 31:48",Baroque,Baroque,Piano,"https://imslp.org/wiki/Herr_Jesu_Christ,_dich_zu_uns_wend,_BWV_Anh.56_(Bach,_Johann_Sebastian)",,,,,,".
1735",,,,
12049,Poème tragique,"Scriabin, Aleksandr",Op.34,IAS 48,B-flat major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Po%C3%A8me_tragique,_Op.34_(Scriabin,_Aleksandr)",,1903,,,3-5 minutes,".
1904",,,,
03281,Fugue,"Bach, Johann Sebastian",BWV 949 ; BC L154,IJB 190,A major,1 fugue,Baroque,Baroque,Piano,"https://imslp.org/wiki/Fugue_in_A_major,_BWV_949_(Bach,_Johann_Sebastian)",Fuga. ex a c.,1715?,,,,".
1867",,,,
438623,Prelude and Fugue in B minor,"Bach, Johann Sebastian",BWV 544 ; BC J 27,IJB 494,B minor,"2 sections:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue,_BWV_544,_B_minor_(Bach,_Johann_Sebastian)",Præludium et Fuga in h,1727-31,,,,".
1812-14 ca. by Riedl",,,,
13336,Alleluja,"Liszt, Franz",S.183/1 ; LW.A216/1 ; R.68/1,IFL 9,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Alleluja,_S.183/1_(Liszt,_Franz)",,1862,,,3 minutes,".
1865",,,,
03193,Prelude and Fugue,"Bach, Johann Sebastian",BWV 895 ; BC L 129,IJB 489,A minor,"2 movements:
Præludium
Fuga",Baroque,Baroque,Piano,"https://imslp.org/wiki/Prelude_and_Fugue_in_A_minor,_BWV_895_(Bach,_Johann_Sebastian)",Präludium und Fuge,1709,,,,".
1843",,,,
67688,Soirées musicales de Rossini,"Liszt, Franz",S.424 ; LW.A36,IFL 360,,"12 pieces
La promessa
(Canzonetta) [No.1 in Rossini's original collection]
La regata veneziana
(Notturno) [Rossini's No.9]
L'invito
(Bolero) [Rossini's No.5]
La gita in gondola
(Barcarola) [Rossini's No.7]
Il rimprovero
(Canzonetta) [Rossini's No.2]
La pastorella dell'Alpi
(Tirolese)  [Rossini's No.6]
La partenza
(Canzonetta) [Rossini's No.3]
La pesca
(Notturno) [Rossini's No.10]
La danza
(Tarantella Napoletana) [Rossini's No.8]
La serenata
(Notturno) [Rossini's No.11]
L'orgia
(Arietta) [Rossini's No.4]
Li marinari
(Duetto) [Rossini's No.12 ]",Romantic,Romantic,Piano,"https://imslp.org/wiki/Soir%C3%A9es_musicales_de_Rossini,_S.424_(Liszt,_Franz)",,1837,,,,".
1838",Countess Julie Samoyloff,,,
112340,Nocturnes,"Chopin, Frédéric","Op.48 ; CT 120, 121",IFC 70,,"2 nocturnes:
Lento (C minor)
Andantino (F-sharp minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturnes,_Op.48_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1841,"Nocturnes, Op. 48
;
夜曲Op. 48
;
2 Notturni op. 48
;
Nocturns op. 48
;
المقطوعة الحالمة Op.48
;
Nokturny op. 48 Fryderyka Chopina
;
Νυχτερινά, Op. 48
;
Nocturne, Op. 48
;
Nocturnes, opus 48
;
녹턴, Op. 48
;
Nocturnos, op. 48","WorldCat
;
Wikipedia
;
VIAF
:
193652978
;
LCCN
:
no00047909
;
GND
:
300037481
;
BNF
:
14806079t",,".
1842",Mlle. Laure Duperré,المقطوعة الحالمة Op.٤٨ (شوبان),,
139915,3 Études de concert,"Liszt, Franz",S.144 ; LW.A118,IFL 101,,"3 pieces (titles in italics are probably not by Liszt)
Il lamento
(A
♭
major)
La leggierezza
(F minor)
Un sospiro
(D
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_%C3%89tudes_de_concert,_S.144_(Liszt,_Franz)",Trois grandes études de concert ; Trois Caprices Poétiques,1845–49,"Három hangverseny-etűd
;
Three Concert Études
;
3つの演奏会用練習曲
;
Trois Études de Concert
;
Trois études de concert
;
Три концертных этюда (Лист)","WorldCat
;
Wikipedia
;
VIAF
:
177009743
;
GND
:
300093462
;
BNF
:
139182375",,".
1849 – Leipzig:
Kistner",Eduard Liszt (1817-1879),"Trois Etudes de Concert
;
Three Concert Etudes",,
12669,3 Morceaux,"Scriabin, Aleksandr",Op.52,IAS 43,,"3 pieces:
I. Poème
II. Enigme
III. Poème languide",Romantic,Early 20th century,Piano,"https://imslp.org/wiki/3_Pieces,_Op.52_(Scriabin,_Aleksandr)",,1907,,,,".
1908 - composer's limited edition
1911 - Edition Russes de Musique",,,,
03180,Piano Sonata No.21,"Beethoven, Ludwig van",Op.53,ILB 182,C major,"3 movements:
Allegro con brio (C major)
Introduzione. Adagio molto (F major) -
Rondo. Allegretto moderato - Prestissimo (C major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.21,_Op.53_(Beethoven,_Ludwig_van)",Waldstein sonata,1803-04,"Piano Sonata No. 21
;
Sonata per a piano núm. 21
;
Klaviersonate Nr. 21
;
Sonata para piano n.º 21
;
Pianoarentzako 21. sonata
;
سونات ۲۱ پیانو
;
Pianosonaatti nro 21
;
Sonate pour piano nº 21 de Beethoven
;
סונאטה מס' 21 של בטהובן
;
Sonata per pianoforte n. 21
;
ピアノソナタ第21番
;
피아노 소나타 21번
;
Pianosonate nr. 21
;
Sonata fortepianowa nr 21 Beethovena
;
Соната для фортепиано № 21
;
Соната для фортепіано № 21
;
Waldsteinsonaten
;
Σονάτα για πιάνο No. 21
;
第21首鋼琴奏鳴曲 (貝多芬)
;
第21首钢琴奏鸣曲 (贝多芬)
;
Sonata clavili 21 in C maiore, op. 53 (Beethoven)
;
第21首钢琴奏鸣曲
;
Waldstein
;
سۆناتای ژمارە ٢١ بۆ پیانۆ
;
Sonata Rhif 21 i'r Piano","WorldCat
;
Wikipedia
;
VIAF
:
181447614
;
LCCN
:
n82044800
;
GND
:
300016786
;
BNF
:
139082191
;
NLA
:
35803180
;
BNE
:
XX2241622",,".
1805","Count Ferdinand Ernst Gabriel von Waldstein
(1762-1823)","Piano Sonata No. 21 in C Major, Op. 53
;
Waldstein (apocrifo)
;
L'aurora (apocrifo)
;
Opus 53: Sonate nr. 21 i C-dur
;
华德斯坦
;
華德斯坦
;
Pianosonate nr. 21 (Beethoven)
;
Sonata para piano n.º 21 en do mayor, Op. 53
;
L'Aurore",,
76818,Hungarian Rhapsody No.6,"Liszt, Franz",S.244/6 ; LW.A132/6,IFL 168,D-flat major,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Hungarian_Rhapsody_No.6,_S.244/6_(Liszt,_Franz)",Tempo giusto,1847,"Hungarian Rhapsody No. 6
;
ハンガリー狂詩曲第6番
;
Ungarische Rhapsodie Nr. 6
;
第6號匈牙利狂想曲
;
Rapsodia húngara n.º 6 (Liszt)
;
Венгерская рапсодия № 6","WorldCat
;
Wikipedia
;
LCCN
:
no97074067",,".
1853",Count Anton Apponyi,,,
102463,Douze Etudes,"Chopin, Frédéric",Op.25,IFC 22,,"12 etudes:
1. Etude in A-flat major, 'Aeolian Harp'
2. Etude in F minor, 'The Bees'
3. Etude in F major, 'The Horseman'
4. Etude in A minor, 'Paganini'
5. Etude in E minor, 'Wrong Note'
6. Etude in G-sharp minor, 'Thirds'
7. Etude in C-sharp minor, 'Cello'
8. Etude in D-flat major, 'Sixths'
9. Etude in G-flat major, 'Butterfly'
10. Etude in B minor, 'Octave'
11. Etude in A minor, 'Winter Wind'
12. Etude in C minor, 'Ocean'",Romantic,Romantic,Piano,"https://imslp.org/wiki/%C3%89tudes,_Op.25_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1832-36,"Étude Op. 25, No. 1
;
練習曲作品25-1
;
연습곡 13번
;
Etiuda op. 25 nr 1
;
Studio op. 25 n. 1
;
練習曲作品25第1號
;
Estudi op. 25
;
Étude Op. 25, Nr. 1
;
Σπουδή Op. 25, No. 1
;
Étude op. 25, n° 1","WorldCat
;
Wikipedia
;
VIAF
:
185089094
;
LCCN
:
n81089329
;
GND
:
300036930
;
BNF
:
14818262b",,".
1837 - Paris:
Maurice Schlesinger
Publication noted in the
Bibliographie de la France
1e série, 26e année (40e de la collection), Nº 50, 16 Décembre 1837, p.616, r.290.","Comtesse d'Agoult
(1805–1876)","Etude in A-flat major 'Aeolian Harp'
;
Aeolian Harp étude
;
Étude in A-flat Major, Op. 25, No. 1",,
112920,3 Ecossaises,"Chopin, Frédéric",Op.72 No.3,IFC 20,,"3 pieces:
Ecossaise in D major
Ecossaise in G major
Ecossaise in D-flat major",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Ecossaises,_Op.72_No.3_(Chopin,_Fr%C3%A9d%C3%A9ric)",,1826 (possibly 1829-30?),"エコセーズ (ショパン)
;
Three Écossaises, Op. posth. 72, No. 3
;
3 Scozzesi Op. 72 n. 3",,,".
1855 -
Berlin: Lienau (Schlesinger imprint)",,,,
77509,Petite valse favorite,"Liszt, Franz","S.212/1 ; LW.A84a (1st version)
S.212/2 ; LW.A84b (2nd version)",IFL 293,A-flat major,1 (Vivace),Romantic,Romantic,Piano,"https://imslp.org/wiki/Petite_valse_favorite,_S.212_(Liszt,_Franz)",Souvenir de St Pétersbourg,"1842 (1st version)
1843 (2nd version)",,,,".
1843 (1st version)
1928 (2nd version)","Maria Kalergis
(1822–1874)",,,
274556,Goldberg-Variationen,"Bach, Johann Sebastian",BWV 988 ; BC L 9 ; Op.4,IJB 249,G major,"aria, 30 variations:
Aria
Variatio 1. a 1 Clav.
Variatio 2. a 1 Clav.
Variatio 3. Canone all’Unisuono. a 1 Clav.
Variatio 4. a 1 Clav.
Variatio 5. a 1 ô vero 2 Clav.
Variatio 6. Canone alla Seconda. a 1 Clav.
Variatio 7. a 1 ô vero 2 Clav. al tempo di Giga
Variatio 8. a 2 Clav.
Variatio 9. Canone alla Terza. a 1 Clav.
Variatio 10. Fughetta. a 1 Clav.
Variatio 11. a 2 Clav.
Variatio 12. a 1 Clav. Canone alla Quarta.
a 1 Clav.
in moto contrario
Variatio 13. a 2 Clav.
Variatio 14. a 2 Clav.
Variatio 15. Canone alla Quinta. a 1 Clav.: Andante
Variatio 16. Ouverture. a 1 Clav.
Variatio 17. a 2 Clav.
Variatio 18. Canone alla Sesta. a 1 Clav.
Variatio 19. a 1 Clav.
Variatio 20. a 2 Clav.
Variatio 21. Canone alla Settima.
a 1 Clav.
Variatio 22. a 1 Clav. alla breve
Variatio 23. a 2 Clav.
Variatio 24. Canone all'Ottava. a 1 Clav.
Variatio 25. a 2 Clav.: Adagio
Variatio 26. a 2 Clav.
Variatio 27. Canone alla Nona. a 2 Clav.
Variatio 28. a 2 Clav.
Variatio 29. a 1 ô vero 2 Clav.
Variatio 30. Quodlibet. a 1 Clav.
Aria da Capo",Baroque,Baroque,Piano,"https://imslp.org/wiki/Goldberg-Variationen,_BWV_988_(Bach,_Johann_Sebastian)",Goldberg Variations ; Aria mit 30 Veränderungen ; Clavier-Übung IV,,"哥德堡变奏曲
;
哥德堡變奏曲
;
Wariacje Goldbergowskie
;
וריאציות גולדברג
;
Variations Goldberg
;
골드베르크 변주곡
;
Variaciones Goldberg
;
Goldberg-variációk
;
Variazioni Goldberg
;
ゴルトベルク変奏曲
;
Argemmoù Goldberg
;
Variazzioni Goldberg
;
Goldbergvariaties
;
Variações Goldberg
;
Goldberg-variacioj
;
Goldbergove variácie
;
Вариации Гольдберга
;
Goldberg varijacije
;
Голдберг варијације
;
Goldberg Variations
;
Голдбергови варијации
;
Variacions Goldberg
;
Goldberg-muunnelmat
;
Гольдберг-варіації
;
Variationes Goldbergenses
;
Goldbergvariasjonane
;
Goldbergovy variace
;
Variazions Goldberg
;
Goldbergvariationer
;
واریاسیون‌های گلدبرگ
;
Goldbergvariasjonene
;
D Goldbärg-Wariazioone
;
Παραλλαγές Γκόλντμπεργκ
;
Variațiunile Goldberg
;
Goldbergvariationerna
;
Amrywiadau Goldberg
;
Goldberg Varyasyonları","WorldCat
;
Wikipedia
;
VIAF
:
178017975
;
LCCN
:
n81055107
;
GND
:
30000527X
;
SUDOC
:
035235160
;
BNF
:
13910015c
;
NLA
:
35377289
;
BNE
:
XX2092450",,".
1741 (as
Clavier-Übung IV
)",,"哥德堡變奏
;
哥德堡变奏
;
郭德堡變奏曲
;
BWV988
;
Variazioni di Goldberg
;
Goldbergvariationen
;
Clavier Ubung bestehend in einer Aria mit verschiedenen Verænderungen vors Clavicimbal mit 2 Manualen
;
ゴールドベルク変奏曲
;
ゴールドベルグ変奏曲
;
ゴールトベルク変奏曲
;
Goldberg Variaties
;
Variações Goldberg na Cultura Popular
;
Goldberga variaĵaro
;
Goldberg- variacioj
;
Goldbergovské variácie pre klavír
;
Гольдберг-вариации
;
Голдбергове варијације
;
Goldberg-variaatiot
;
Goldberg-variasjonane
;
Aria mit 30 Veränderungen
;
Goldberg variations
;
Goldberg variationen
;
Голдберг-варијации",,
03149,"Ländler, D.366","Schubert, Franz",D.366,IFS 416,,17 ländler,Romantic,Romantic,Piano,"https://imslp.org/wiki/17_L%C3%A4ndler,_D.366_(Schubert,_Franz)",,,,,,,,,,
