title,midi_path,composer
Evening Invocation,"../GiantMIDI/midis/Adams, Ernest Harry, Evening Invocation, vsq8voyBe0I.mid","Adams, Ernest Harry"
The Cake Winner,"../GiantMIDI/midis/Adams, G. W., The Cake Winner, jpGN53CNZoA.mid","Adams, G. W."
The Banks of the Ashuelot,"../GiantMIDI/midis/Adams, John Goldthwait, The Banks of the Ashuelot, 1xKPUdfttoA.mid","Adams, John Goldthwait"
Spanish Scenes,"../GiantMIDI/midis/Adams, Joseph H., Spanish Scenes, rHt5TuNJlRM.mid","Adams, Joseph H."
Reine des Antilles,"../GiantMIDI/midis/Adhémar, Abel d', Reine des Antilles, BrYEK9484wY.mid","Adhémar, Abel d'"
Fidela,"../GiantMIDI/midis/Adiego Navarro, Tomás, Fidela, UB0my6R4RoA.mid","Adiego Navarro, Tomás"
Modestia,"../GiantMIDI/midis/Adiego Navarro, Tomás, Modestia, UB0my6R4RoA.mid","Adiego Navarro, Tomás"
3 Characteristic Dances,"../GiantMIDI/midis/Adlam, Frank, 3 Characteristic Dances, uTHjP_TKXZ0.mid","Adlam, Frank"
Triumph,"../GiantMIDI/midis/Adlam, Frank, Triumph, uz3dydtvI00.mid","Adlam, Frank"
"Grande marche, Op.24","../GiantMIDI/midis/Adler, Vincent, Grande marche, Op.24, CVChKbwlaCA.mid","Adler, Vincent"
"2 Impromptus, Op.1","../GiantMIDI/midis/Adler, Vincent, 2 Impromptus, Op.1, dTNY0zzHNxA.mid","Adler, Vincent"
"Valse rococo, Op.11","../GiantMIDI/midis/Adler, Vincent, Valse rococo, Op.11, eegaa_igZcg.mid","Adler, Vincent"
Laughing Water,"../GiantMIDI/midis/Agar, R. H., Laughing Water, n6PysN-SeWs.mid","Agar, R. H."
An Autumn Morning,"../GiantMIDI/midis/Agnew, Roy, An Autumn Morning, KBcERxrDTPs.mid","Agnew, Roy"
Australian Forest Pieces,"../GiantMIDI/midis/Agnew, Roy, Australian Forest Pieces, 4dRd_HTq6ok.mid","Agnew, Roy"
Before Dawn,"../GiantMIDI/midis/Agnew, Roy, Before Dawn, Mfz6rusKaOY.mid","Agnew, Roy"
Contrasts,"../GiantMIDI/midis/Agnew, Roy, Contrasts, ZLksWOw5_54.mid","Agnew, Roy"
A Dance Impression,"../GiantMIDI/midis/Agnew, Roy, A Dance Impression, d3EMH3txKsk.mid","Agnew, Roy"
Dance of the Wild Men,"../GiantMIDI/midis/Agnew, Roy, Dance of the Wild Men, EOgmmiZ0iFE.mid","Agnew, Roy"
Drifting Mists,"../GiantMIDI/midis/Agnew, Roy, Drifting Mists, sgyDI9d-ogA.mid","Agnew, Roy"
Elf Dance,"../GiantMIDI/midis/Agnew, Roy, Elf Dance, pH5JmyNzILU.mid","Agnew, Roy"
Fantasie Sonata,"../GiantMIDI/midis/Agnew, Roy, Fantasie Sonata, L7YSslhMWQU.mid","Agnew, Roy"
Holiday Suite,"../GiantMIDI/midis/Agnew, Roy, Holiday Suite, p6kK1oMvvpk.mid","Agnew, Roy"
A May Day,"../GiantMIDI/midis/Agnew, Roy, A May Day, WcNXEoOfE90.mid","Agnew, Roy"
2 Piano Pieces,"../GiantMIDI/midis/Agnew, Roy, 2 Piano Pieces, FxJoaQcBkvw.mid","Agnew, Roy"
2 Pieces,"../GiantMIDI/midis/Agnew, Roy, 2 Pieces, FxJoaQcBkvw.mid","Agnew, Roy"
Poem No.1,"../GiantMIDI/midis/Agnew, Roy, Poem No.1, GHWFSi_4Ltg.mid","Agnew, Roy"
3 Poems,"../GiantMIDI/midis/Agnew, Roy, 3 Poems, LnKv0T-PvNY.mid","Agnew, Roy"
Prelude No.1,"../GiantMIDI/midis/Agnew, Roy, Prelude No.1, gHtoiDC0hpk.mid","Agnew, Roy"
Prelude No.4,"../GiantMIDI/midis/Agnew, Roy, Prelude No.4, 3VAUaxSpwfY.mid","Agnew, Roy"
3 Preludes,"../GiantMIDI/midis/Agnew, Roy, 3 Preludes, _0FzvvfLvrA.mid","Agnew, Roy"
Rabbit Hill,"../GiantMIDI/midis/Agnew, Roy, Rabbit Hill, iVrPfk_ODOA.mid","Agnew, Roy"
Rural Sketches,"../GiantMIDI/midis/Agnew, Roy, Rural Sketches, ZAGQD_jcGf8.mid","Agnew, Roy"
Sonata Ballade,"../GiantMIDI/midis/Agnew, Roy, Sonata Ballade, MXyvx1yfDHM.mid","Agnew, Roy"
Trains,"../GiantMIDI/midis/Agnew, Roy, Trains, TMT6kYhk1vY.mid","Agnew, Roy"
Youthful Fancies,"../GiantMIDI/midis/Agnew, Roy, Youthful Fancies, YIK8RatMELo.mid","Agnew, Roy"
La gaditana,"../GiantMIDI/midis/Aguilar, A. d', La gaditana, xArF0mpoKhE.mid","Aguilar, A. d'"
Gato,"../GiantMIDI/midis/Aguirre, Julián, Gato, w9CjQXt12YA.mid","Aguirre, Julián"
"Huella, Op.49","../GiantMIDI/midis/Aguirre, Julián, Huella, Op.49, zUHu03zVfmE.mid","Aguirre, Julián"
Beets and Turnips,"../GiantMIDI/midis/Ahlert, Fred, Beets and Turnips, Rz6q6u4_uiw.mid","Ahlert, Fred"
"Memories, Op.22","../GiantMIDI/midis/Aitken, George, Memories, Op.22, DH8H2PLUYxs.mid","Aitken, George"
"Sérénade, Op.17","../GiantMIDI/midis/Aitken, George, Sérénade, Op.17, 1e3XI4ubM98.mid","Aitken, George"
"Winter Night, Op.1","../GiantMIDI/midis/Ajith, Sriram, Winter Night, Op.1, q5xi-3xarzY.mid","Ajith, Sriram"
"Au coin du feu, Op.28","../GiantMIDI/midis/Akimenko, Theodore, Au coin du feu, Op.28, 12uYxcYd4qU.mid","Akimenko, Theodore"
"3 Danses idylliques, Op.35","../GiantMIDI/midis/Akimenko, Theodore, 3 Danses idylliques, Op.35, ZP-oDJ7dBsw.mid","Akimenko, Theodore"
"2 Esquisses fantastiques, Op.33","../GiantMIDI/midis/Akimenko, Theodore, 2 Esquisses fantastiques, Op.33, mYmm797EcEA.mid","Akimenko, Theodore"
"Jeux, Op.34","../GiantMIDI/midis/Akimenko, Theodore, Jeux, Op.34, oT9uPpgqty4.mid","Akimenko, Theodore"
"3 Morceaux, Op.16","../GiantMIDI/midis/Akimenko, Theodore, 3 Morceaux, Op.16, K1FgrYM4w6s.mid","Akimenko, Theodore"
"5 Morceaux, Op.21","../GiantMIDI/midis/Akimenko, Theodore, 5 Morceaux, Op.21, L7flLaW0CNo.mid","Akimenko, Theodore"
"3 Morceaux, Op.27","../GiantMIDI/midis/Akimenko, Theodore, 3 Morceaux, Op.27, K1FgrYM4w6s.mid","Akimenko, Theodore"
"Pages de poésie fantasque, Op.43","../GiantMIDI/midis/Akimenko, Theodore, Pages de poésie fantasque, Op.43, b3XCKXe0GgA.mid","Akimenko, Theodore"
"3 Pieces, Op.60bis","../GiantMIDI/midis/Akimenko, Theodore, 3 Pieces, Op.60bis, bT3HqwIRZB4.mid","Akimenko, Theodore"
4 Preludes,"../GiantMIDI/midis/Akimenko, Theodore, 4 Preludes, StcTYs36JqQ.mid","Akimenko, Theodore"
"5 Preludes, Op.23","../GiantMIDI/midis/Akimenko, Theodore, 5 Preludes, Op.23, 5i4TmV9nEr4.mid","Akimenko, Theodore"
"Rêves étoilés, Op.42","../GiantMIDI/midis/Akimenko, Theodore, Rêves étoilés, Op.42, rnAO7Ivy5Eo.mid","Akimenko, Theodore"
"Sonate fantastique, Op.44","../GiantMIDI/midis/Akimenko, Theodore, Sonate fantastique, Op.44, 0R39bx38mqE.mid","Akimenko, Theodore"
"Uranie, Op.25","../GiantMIDI/midis/Akimenko, Theodore, Uranie, Op.25, KtSZnIl9Ps0.mid","Akimenko, Theodore"
4 Pieces,"../GiantMIDI/midis/Aksakov, Sergey, 4 Pieces, CJE1uTVreYU.mid","Aksakov, Sergey"
Air de ballet,"../GiantMIDI/midis/Alain, Albert, Air de ballet, I5IYcwZ2eCA.mid","Alain, Albert"
Espagnolerie,"../GiantMIDI/midis/Alain, Albert, Espagnolerie, ts4pTlWdmMg.mid","Alain, Albert"
Nocturne,"../GiantMIDI/midis/Alain, Albert, Nocturne, XzXP2pzwHS4.mid","Alain, Albert"
La Dieppoise,"../GiantMIDI/midis/Alary, Giulio, La Dieppoise, ooM0Ie00aQ4.mid","Alary, Giulio"
Brise printanière,"../GiantMIDI/midis/Alary, Joseph, Brise printanière, E-xiH41-IZA.mid","Alary, Joseph"
"Caprice espagnol, Op.24","../GiantMIDI/midis/Alary, Joseph, Caprice espagnol, Op.24, LbBeIPNQTCU.mid","Alary, Joseph"
"Sérénade de Pierrot à Colombine, Op.21","../GiantMIDI/midis/Alary, Joseph, Sérénade de Pierrot à Colombine, Op.21, HToOwt6_WKI.mid","Alary, Joseph"
Obras para clavicordio o piano forte,"../GiantMIDI/midis/Albero, Sebastián, Obras para clavicordio o piano forte, _Q4LY5l69j4.mid","Albero, Sebastián"
Le bonheur,"../GiantMIDI/midis/Albert, Charles d', Le bonheur, dRZjQIqQfcE.mid","Albert, Charles d'"
Constantinople Quadrille,"../GiantMIDI/midis/Albert, Charles d', Constantinople Quadrille, UCmlxEzx2zM.mid","Albert, Charles d'"
La fille de Madame Angot,"../GiantMIDI/midis/Albert, Charles d', La fille de Madame Angot, JPxbBL5sHws.mid","Albert, Charles d'"
Iolanthe Lancers,"../GiantMIDI/midis/Albert, Charles d', Iolanthe Lancers, OmwyQPuum8k.mid","Albert, Charles d'"
Iolanthe Polka,"../GiantMIDI/midis/Albert, Charles d', Iolanthe Polka, OmwyQPuum8k.mid","Albert, Charles d'"
Iolanthe Quadrille,"../GiantMIDI/midis/Albert, Charles d', Iolanthe Quadrille, l_ybTnCl9XI.mid","Albert, Charles d'"
Iolanthe Waltz,"../GiantMIDI/midis/Albert, Charles d', Iolanthe Waltz, OmwyQPuum8k.mid","Albert, Charles d'"
Palermo quadrille,"../GiantMIDI/midis/Albert, Charles d', Palermo quadrille, l_ybTnCl9XI.mid","Albert, Charles d'"
Patience Lancers,"../GiantMIDI/midis/Albert, Charles d', Patience Lancers, 3SEufPIC-rY.mid","Albert, Charles d'"
Patience Quadrille,"../GiantMIDI/midis/Albert, Charles d', Patience Quadrille, l_ybTnCl9XI.mid","Albert, Charles d'"
Patience Waltz,"../GiantMIDI/midis/Albert, Charles d', Patience Waltz, 3SEufPIC-rY.mid","Albert, Charles d'"
The Pirates of Penzance Galop,"../GiantMIDI/midis/Albert, Charles d', The Pirates of Penzance Galop, aYe0hOqiPDo.mid","Albert, Charles d'"
The Pirates of Penzance Lancers,"../GiantMIDI/midis/Albert, Charles d', The Pirates of Penzance Lancers, 3KRbCTFqTlE.mid","Albert, Charles d'"
The Pirates of Penzance Polka,"../GiantMIDI/midis/Albert, Charles d', The Pirates of Penzance Polka, aYe0hOqiPDo.mid","Albert, Charles d'"
The Pirates of Penzance Waltz,"../GiantMIDI/midis/Albert, Charles d', The Pirates of Penzance Waltz, aYe0hOqiPDo.mid","Albert, Charles d'"
The Queen of Roses,"../GiantMIDI/midis/Albert, Charles d', The Queen of Roses, O-3bcQXPsTM.mid","Albert, Charles d'"
The Regatta Waltzes,"../GiantMIDI/midis/Albert, Charles d', The Regatta Waltzes, JXlRCV8xZCk.mid","Albert, Charles d'"
The Sultan's Polka,"../GiantMIDI/midis/Albert, Charles d', The Sultan's Polka, 5Q6QH-ahK7E.mid","Albert, Charles d'"
"Piano Sonata, Op.10","../GiantMIDI/midis/Albert, Eugen d', Piano Sonata, Op.10, 67iZqAah6pc.mid","Albert, Eugen d'"
As elegantes,"../GiantMIDI/midis/Albertazzi, Henrique, As elegantes, yEZL1MOR1sk.mid","Albertazzi, Henrique"
"The Twelve Fingers, Op.8","../GiantMIDI/midis/Alburger, Mark, The Twelve Fingers, Op.8, ZUmCV1zUuBw.mid","Alburger, Mark"
"Variations and Theme, Op.6","../GiantMIDI/midis/Alburger, Mark, Variations and Theme, Op.6, _dxxgrM4JbI.mid","Alburger, Mark"
Azulejos,"../GiantMIDI/midis/Albéniz, Isaac, Azulejos, UymneP83Esw.mid","Albéniz, Isaac"
"Barcarola, Op.23","../GiantMIDI/midis/Albéniz, Isaac, Barcarola, Op.23, dJ3qmtEcQoA.mid","Albéniz, Isaac"
Champagne-Valse,"../GiantMIDI/midis/Albéniz, Isaac, Champagne-Valse, D2rQLRJZmJs.mid","Albéniz, Isaac"
"Deseo, Op.40","../GiantMIDI/midis/Albéniz, Isaac, Deseo, Op.40, rm89OwMiZJ0.mid","Albéniz, Isaac"
Espagne (Souvenirs),"../GiantMIDI/midis/Albéniz, Isaac, Espagne (Souvenirs), 4khiM5fU438.mid","Albéniz, Isaac"
"España, Op.165","../GiantMIDI/midis/Albéniz, Isaac, España, Op.165, uSD5lYcyxhY.mid","Albéniz, Isaac"
Iberia,"../GiantMIDI/midis/Albéniz, Isaac, Iberia, ShXNe4kc6M8.mid","Albéniz, Isaac"
"Mallorca, Op.202","../GiantMIDI/midis/Albéniz, Isaac, Mallorca, Op.202, G7T6x5-7ze0.mid","Albéniz, Isaac"
Navarra,"../GiantMIDI/midis/Albéniz, Isaac, Navarra, uw7D68i4vXE.mid","Albéniz, Isaac"
"Pavana-Capricho, Op.12","../GiantMIDI/midis/Albéniz, Isaac, Pavana-Capricho, Op.12, P8hm3jouhYk.mid","Albéniz, Isaac"
"Piano Sonata No.1, Op.28","../GiantMIDI/midis/Albéniz, Isaac, Piano Sonata No.1, Op.28, GiPVN-U5ML0.mid","Albéniz, Isaac"
"12 Piezas características, Op.92","../GiantMIDI/midis/Albéniz, Isaac, 12 Piezas características, Op.92, V7xuPiiGqio.mid","Albéniz, Isaac"
"Recuerdos de Viaje, Op.71","../GiantMIDI/midis/Albéniz, Isaac, Recuerdos de Viaje, Op.71, 8WT14lasbCo.mid","Albéniz, Isaac"
"Les saisons, Op.201","../GiantMIDI/midis/Albéniz, Isaac, Les saisons, Op.201, 3tn5mkzkhqQ.mid","Albéniz, Isaac"
Serenata Arabe,"../GiantMIDI/midis/Albéniz, Isaac, Serenata Arabe, bjYUIDqRpHU.mid","Albéniz, Isaac"
"Suite Española No.1, Op.47","../GiantMIDI/midis/Albéniz, Isaac, Suite Española No.1, Op.47, pssZnVi_h2I.mid","Albéniz, Isaac"
"Suite Española No.2, Op.97","../GiantMIDI/midis/Albéniz, Isaac, Suite Española No.2, Op.97, RPFr6VlGXYc.mid","Albéniz, Isaac"
La Vega,"../GiantMIDI/midis/Albéniz, Isaac, La Vega, xkXHTgrMdFk.mid","Albéniz, Isaac"
Yvonne en visite!,"../GiantMIDI/midis/Albéniz, Isaac, Yvonne en visite!, Aoc-7kFQtBk.mid","Albéniz, Isaac"
Zortzico,"../GiantMIDI/midis/Albéniz, Isaac, Zortzico, OxnKOHlPd6Q.mid","Albéniz, Isaac"
"Isla de la cascada de Aranjuez, Op.70","../GiantMIDI/midis/Albéniz, Pedro, Isla de la cascada de Aranjuez, Op.70, r-tBdPlUz4w.mid","Albéniz, Pedro"
The American Dancers,"../GiantMIDI/midis/Alden, Bob, The American Dancers, rsmDH2Zopt0.mid","Alden, Bob"
Souvenir de Vienne,"../GiantMIDI/midis/Alden, John Carver, Souvenir de Vienne, bACQBFJxH8o.mid","Alden, John Carver"
Agnes Waltz,"../GiantMIDI/midis/Aledo, M., Agnes Waltz, 3LLsIGR0t9o.mid","Aledo, M."
"3 Morceaux, Op.7","../GiantMIDI/midis/Alenev, Yevgeny, 3 Morceaux, Op.7, jqXPI6gsT_0.mid","Alenev, Yevgeny"
Étoile d'amour,"../GiantMIDI/midis/Aletter, Wilhelm, Étoile d'amour, giuc8x87AFI.mid","Aletter, Wilhelm"
Rendez-vous,"../GiantMIDI/midis/Aletter, Wilhelm, Rendez-vous, yp4DgrcD4CI.mid","Aletter, Wilhelm"
Cadenza for Piano,"../GiantMIDI/midis/Alexandra, Liana, Cadenza for Piano, c4xtOjFKDiI.mid","Alexandra, Liana"
2 Studies,"../GiantMIDI/midis/Alexandra, Liana, 2 Studies, En1eOTWT6B0.mid","Alexandra, Liana"
6 Variations,"../GiantMIDI/midis/Alexandra, Liana, 6 Variations, ttzZ5PyhTuc.mid","Alexandra, Liana"
Waltz,"../GiantMIDI/midis/Alexandra, Liana, Waltz, uDGkHN_51rY.mid","Alexandra, Liana"
Welcome Rich,"../GiantMIDI/midis/Alexandra, Liana, Welcome Rich, IyMjNxekhyo.mid","Alexandra, Liana"
"3 Morceaux, Op.27","../GiantMIDI/midis/Alferaki, Achilles, 3 Morceaux, Op.27, JZar5qGriIc.mid","Alferaki, Achilles"
"3 Morceaux, Op.30","../GiantMIDI/midis/Alferaki, Achilles, 3 Morceaux, Op.30, ePtnmJxtmxg.mid","Alferaki, Achilles"
The Great Little Army,"../GiantMIDI/midis/Alford, Kenneth J., The Great Little Army, BpRrSvr6ce4.mid","Alford, Kenneth J."
Valse-Caprice,"../GiantMIDI/midis/Algier, J., Valse-Caprice, 5ynqbtRYzOA.mid","Algier, J."
Jenny Lind March,"../GiantMIDI/midis/Alhan, V., Jenny Lind March, 5wbwdMCdgfo.mid","Alhan, V."
Barcarola No.2,"../GiantMIDI/midis/Alió, Francisco, Barcarola No.2, x4WoaCgMtIs.mid","Alió, Francisco"
"3 Andantes romantiques, Op.13","../GiantMIDI/midis/Alkan, Charles-Valentin, 3 Andantes romantiques, Op.13, 1dUMXk1-iOU.mid","Alkan, Charles-Valentin"
"Capriccio alla soldatesca, Op.50","../GiantMIDI/midis/Alkan, Charles-Valentin, Capriccio alla soldatesca, Op.50, dnnTZcIAVvE.mid","Alkan, Charles-Valentin"
Chapeau bas!,"../GiantMIDI/midis/Alkan, Charles-Valentin, Chapeau bas!, vFpL6KY-2W4.mid","Alkan, Charles-Valentin"
"Le chemin de fer, Op.27","../GiantMIDI/midis/Alkan, Charles-Valentin, Le chemin de fer, Op.27, smVK9-gcb1w.mid","Alkan, Charles-Valentin"
"Esquisses, Op.63","../GiantMIDI/midis/Alkan, Charles-Valentin, Esquisses, Op.63, ioT8SqcU0is.mid","Alkan, Charles-Valentin"
Étude alla barbaro,"../GiantMIDI/midis/Alkan, Charles-Valentin, Étude alla barbaro, Ex3Em_P6TCI.mid","Alkan, Charles-Valentin"
"12 Etudes in All the Minor Keys, Op.39","../GiantMIDI/midis/Alkan, Charles-Valentin, 12 Etudes in All the Minor Keys, Op.39, ZG9pGzXmHjo.mid","Alkan, Charles-Valentin"
"3 Improvisations dans le Style brillant, Op.12","../GiantMIDI/midis/Alkan, Charles-Valentin, 3 Improvisations dans le Style brillant, Op.12, ORT-ei5_X8w.mid","Alkan, Charles-Valentin"
"Les mois, Op.74","../GiantMIDI/midis/Alkan, Charles-Valentin, Les mois, Op.74, Pzth1MU5JFY.mid","Alkan, Charles-Valentin"
"3 Morceaux dans le Genre pathétique, Op.15","../GiantMIDI/midis/Alkan, Charles-Valentin, 3 Morceaux dans le Genre pathétique, Op.15, aOGplYgQOZk.mid","Alkan, Charles-Valentin"
"Nocturne, Op.22","../GiantMIDI/midis/Alkan, Charles-Valentin, Nocturne, Op.22, pjfMMKhRi9I.mid","Alkan, Charles-Valentin"
Petit conte,"../GiantMIDI/midis/Alkan, Charles-Valentin, Petit conte, pJwOucXTls0.mid","Alkan, Charles-Valentin"
"3 Petites fantaisies, Op.41","../GiantMIDI/midis/Alkan, Charles-Valentin, 3 Petites fantaisies, Op.41, CptNa_Pa7b0.mid","Alkan, Charles-Valentin"
"2 Petites pièces, Op.60","../GiantMIDI/midis/Alkan, Charles-Valentin, 2 Petites pièces, Op.60, jcvaJLXSC0c.mid","Alkan, Charles-Valentin"
Pour Monsieur Gurkhaus,"../GiantMIDI/midis/Alkan, Charles-Valentin, Pour Monsieur Gurkhaus, L2ajYW7C75s.mid","Alkan, Charles-Valentin"
"Quasi Caccia, Op.53","../GiantMIDI/midis/Alkan, Charles-Valentin, Quasi Caccia, Op.53, JYAEaf9C4jU.mid","Alkan, Charles-Valentin"
"Recueil d'Impromptus, Op.32","../GiantMIDI/midis/Alkan, Charles-Valentin, Recueil d'Impromptus, Op.32, EIPeJfmC06U.mid","Alkan, Charles-Valentin"
"Recueil de Chants, Op.38","../GiantMIDI/midis/Alkan, Charles-Valentin, Recueil de Chants, Op.38, xNAES0Nouno.mid","Alkan, Charles-Valentin"
"Recueil de Chants, Op.65","../GiantMIDI/midis/Alkan, Charles-Valentin, Recueil de Chants, Op.65, p5IQXu1-A5s.mid","Alkan, Charles-Valentin"
"Recueil de Chants, Op.67","../GiantMIDI/midis/Alkan, Charles-Valentin, Recueil de Chants, Op.67, s8FOg_3feVo.mid","Alkan, Charles-Valentin"
"Recueil de Chants, Op.70","../GiantMIDI/midis/Alkan, Charles-Valentin, Recueil de Chants, Op.70, Vsd6ANf1rUQ.mid","Alkan, Charles-Valentin"
Les regrets de la nonette,"../GiantMIDI/midis/Alkan, Charles-Valentin, Les regrets de la nonette, w8whEYUPXnI.mid","Alkan, Charles-Valentin"
"Saltarelle, Op.23","../GiantMIDI/midis/Alkan, Charles-Valentin, Saltarelle, Op.23, pUlgsDD3iDw.mid","Alkan, Charles-Valentin"
"Sonatine, Op.61","../GiantMIDI/midis/Alkan, Charles-Valentin, Sonatine, Op.61, hEgaVkvsows.mid","Alkan, Charles-Valentin"
"Super flumina Babylonis, Op.52","../GiantMIDI/midis/Alkan, Charles-Valentin, Super flumina Babylonis, Op.52, GxjqMDQZY7s.mid","Alkan, Charles-Valentin"
"Le tambour bat aux champs, Op.50bis","../GiantMIDI/midis/Alkan, Charles-Valentin, Le tambour bat aux champs, Op.50bis, HKbCSrSqOLs.mid","Alkan, Charles-Valentin"
"Toccatina, Op.75","../GiantMIDI/midis/Alkan, Charles-Valentin, Toccatina, Op.75, H-NQpRJRGSc.mid","Alkan, Charles-Valentin"
"Une Fusée, Op.55","../GiantMIDI/midis/Alkan, Charles-Valentin, Une Fusée, Op.55, 1DECBQqaICY.mid","Alkan, Charles-Valentin"
Zorcico,"../GiantMIDI/midis/Alkan, Charles-Valentin, Zorcico, 3VCNtyi3pgY.mid","Alkan, Charles-Valentin"
Maria,"../GiantMIDI/midis/Alkan, Maxime, Maria, F7YxFilFFXo.mid","Alkan, Maxime"
Užburta vieta,"../GiantMIDI/midis/Alkauskas, Giedrius, Užburta vieta, 39hczjcd4X0.mid","Alkauskas, Giedrius"
Miserere,"../GiantMIDI/midis/Allegri, Gregorio, Miserere, IA88AS6Wy_4.mid","Allegri, Gregorio"
The Celebrated Chop Waltz,"../GiantMIDI/midis/Allen, Euphemia, The Celebrated Chop Waltz, eJZnDn-M8JM.mid","Allen, Euphemia"
Dance of the Lunatics,"../GiantMIDI/midis/Allen, Thomas S., Dance of the Lunatics, mkDUUag2t6g.mid","Allen, Thomas S."
2 Preludes,"../GiantMIDI/midis/Allende, Pedro Humberto, 2 Preludes, 62PGmIAGFFs.mid","Allende, Pedro Humberto"
12 Tonadas,"../GiantMIDI/midis/Allende, Pedro Humberto, 12 Tonadas, r0cOiEu2WAM.mid","Allende, Pedro Humberto"
Joyeuse Espagne,"../GiantMIDI/midis/Allier, Gabriel, Joyeuse Espagne, f8eYDYBV3Qk.mid","Allier, Gabriel"
Minnie Polka,"../GiantMIDI/midis/Allin, Albert D., Minnie Polka, hCan5-TI-hg.mid","Allin, Albert D."
"4 Piano Pieces, Op.4","../GiantMIDI/midis/Alnæs, Eyvind, 4 Piano Pieces, Op.4, b1i7AU7k2cg.mid","Alnæs, Eyvind"
"3 Piano Pieces, Op.9","../GiantMIDI/midis/Alnæs, Eyvind, 3 Piano Pieces, Op.9, 4JYFS3GciOk.mid","Alnæs, Eyvind"
"4 Piano Pieces, Op.13","../GiantMIDI/midis/Alnæs, Eyvind, 4 Piano Pieces, Op.13, -dSoxajqWow.mid","Alnæs, Eyvind"
Romance,"../GiantMIDI/midis/Alnæs, Eyvind, Romance, kI0LnpTwwLE.mid","Alnæs, Eyvind"
"Variations, Op.5","../GiantMIDI/midis/Alnæs, Eyvind, Variations, Op.5, jltNNSoVNXQ.mid","Alnæs, Eyvind"
"3 Morceaux, Op.33","../GiantMIDI/midis/Aloiz, Vladislav, 3 Morceaux, Op.33, CO3wGLavE4Y.mid","Aloiz, Vladislav"
"4 Morceaux, Op.51","../GiantMIDI/midis/Aloiz, Vladislav, 4 Morceaux, Op.51, tcXabCxkzVU.mid","Aloiz, Vladislav"
Impromptu,"../GiantMIDI/midis/Alombert, Jeanne, Impromptu, CsGt_W9ryj0.mid","Alombert, Jeanne"
Studenten Gavotte,"../GiantMIDI/midis/Alpen, Hugo, Studenten Gavotte, 1Zvdgg2wbW4.mid","Alpen, Hugo"
Le souvenir,"../GiantMIDI/midis/Altavilla, Alfonso, Le souvenir, iCC1kTN5RjM.mid","Altavilla, Alfonso"
Valse brillante,"../GiantMIDI/midis/Alwens, Charles, Valse brillante, IxVVWOhhQXk.mid","Alwens, Charles"
Mazurka in D major,"../GiantMIDI/midis/Alyabyev, Aleksandr, Mazurka in D major, 8rtQpr7S1PM.mid","Alyabyev, Aleksandr"
Mazurka in E-flat major,"../GiantMIDI/midis/Alyabyev, Aleksandr, Mazurka in E-flat major, 0urX6a7_Tmo.mid","Alyabyev, Aleksandr"
"Album pour la jeunesse, Op.15","../GiantMIDI/midis/Amani, Nikolay, Album pour la jeunesse, Op.15, 8l9eWNsIjtA.mid","Amani, Nikolay"
"3 Preludes, Op.8","../GiantMIDI/midis/Amani, Nikolay, 3 Preludes, Op.8, DXBPD5j7zc0.mid","Amani, Nikolay"
"Theme and Variations, Op.3","../GiantMIDI/midis/Amani, Nikolay, Theme and Variations, Op.3, MT8046nyfU8.mid","Amani, Nikolay"
Transparencias,"../GiantMIDI/midis/Amengual, René, Transparencias, 6QMgqMlJUis.mid","Amengual, René"
