,Work Title,Composer,Opus/Catalogue Number,I-Catalogue Number,Key,Movements/Sections,Composer Time Period,Piece Style,Instrumentation,url,Alternative Title,First Publication,Name Translations,Name Aliases,Authorities,Year/Date of Composition,Dedication,Average Duration,Copyright Information,Language,Librettist
452144,Magnificat Fugue,"Pachelbel, Johann",P.284 ; T.124,IJP 132,G Dorian mode (G minor),1 fugue,Baroque,Baroque,Piano,"https://imslp.org/wiki/Magnificat_Fugue,_P.284_(Pachelbel,_Johann)","Magnificat secundi toni, Magnificat-fugue, mode II (no.1)",".
1901 in
Compositionen zumeist Fugen über das Magnificat
(No.24)",,,,,,,,,
428580,Fantaisie brillante sur Martha,"Ketterer, Eugène",Op.60,IEK 31,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Fantaisie_brillante_sur_Martha,_Op.60_(Ketterer,_Eug%C3%A8ne)",,".
1858",,,,,a Mademoiselle Kate Spencer,,,,
143191,"Variations brillantes pour le pianoforte sur le rondeau favori ""Je vends des scapulaires"" de Ludovic de Hérold et Halevy","Chopin, Frédéric",Op.12,IFC 105,B-flat major,"Introduction, Theme and 4 Variations
Introduction. Allegro maestoso (B
♭
major)
Thème. Allegro moderato (B
♭
major)
Variation 1.
=  92 (B
♭
major)
Variation 2. Scherzo (B
♭
major)
Variation 3. Lento (D
♭
major)
Variation 4. Scherzo vivace (B
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Variations_brillantes,_Op.12_(Chopin,_Fr%C3%A9d%C3%A9ric)",,,"華麗なる変奏曲 (ショパン)
;
Variazioni brillanti op. 12
;
Variations brillantes","華麗なる変奏曲
;
Variationen über ein Thema as Herolds 'Ludovic'
;
Variations brillantes sur le rondeau favori „Je vends des Scapulaires“ de „Ludovic“ de Hérold et Halévy B-Dur
;
Introduktion und Variationen über 'Ronde' aus Herolds 'Ludovic'
;
Introduction and variations on 'Je vends des scapulaires' from Hérold's Ludovic
;
Variations on Je vends des scapulaires
;
Variations brillantes sur le Rondo favori de ""Ludovic"" de Hérold ""Je vends des scapulaires""
;
Variations, en si bémol majeur, pour piano","WorldCat
;
LCCN
:
n83134146",1833,Emma Horsford,,,,
53603,Allegretto in C minor,"Schubert, Franz",D.915,IFS 33,C minor,Allegretto,Romantic,Romantic,Piano,"https://imslp.org/wiki/Allegretto_in_C_minor,_D.915_(Schubert,_Franz)",,".
1870",,,,1828,,,,,
08142,"12 Etudes, Op.38","Kirchner, Theodor",Op.38,ITK 11,,12,Romantic,Romantic,Piano,"https://imslp.org/wiki/12_Etudes,_Op.38_(Kirchner,_Theodor)",,,,,,1878,,,,,
274347,Suédoise,"Chaminade, Cécile",Op.141,ICC 186,B major,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Su%C3%A9doise,_Op.141_(Chaminade,_C%C3%A9cile)",,".
1911",,,,,To Mr. Ch. Gilbert Spross,,,,
447511,3 Méditations,"Kontski, Anton de",Op.42,IAK 17,,"3 pieces
Les Reproches (F minor)
Le Départ. Andante (E
♭
minor)
Le mal du pays (A
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/3_M%C3%A9ditations,_Op.42_(Kontski,_Anton_de)",,".
1841 – Paris:
Lemoine",,,,,"à Monsieur
Adam Mickiewicz",22 minutes,,,
35602,Menuet,"Ravina, Jean Henri",Op. 100,IJR 41,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Menuet,_Op.100_(Ravina,_Jean_Henri)",,".
1888 ca.?",,,,,,,,,
357244,Rapsodie No.1,"Mayer, Charles",Op.103,ICM 64,D minor,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Rapsodie_No.1,_Op.103_(Mayer,_Charles)",,".
1847 – Leipzig:
Kistner",,,,,À Felix Kaskel,,,,
82776,Dance of the Hulder,"Backer-Grøndahl, Agathe",,IAB 23,A minor,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Huldreslaat_(Backer-Gr%C3%B8ndahl,_Agathe)",,".
1887",,,,,,,,,
263863,Tarantelle,"Rubinstein, Anton",Op.6,IAR 110,B minor,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Tarantelle,_Op.6_(Rubinstein,_Anton)",,,,,,,Nicolas de Martinoff,,,,
43009,"""Ewig dein!"" - Salonstück","Reger, Max",WoO III/23 ; Op.17523,IMR 58,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Ewig_dein!_(Reger,_Max)",,,,,,1907 (?),,,,,
23995,"10 Variations on ""Unser dummer Pöbel meint""","Mozart, Wolfgang Amadeus",K.455,IWM 615,G major,11,Classical,Classical,Piano,"https://imslp.org/wiki/10_Variations_on_%22Unser_dummer_P%C3%B6bel_meint%22,_K.455_(Mozart,_Wolfgang_Amadeus)",,".
1792 – Berlin & Amsterdam:
J. J. Hummel","Zehn Variationen G-Dur über „Unser dummer Pöbel meint“
;
Diez variaciones sobre «Unser dummer Pöbel meint»
;
10 вариаций на тему ариетты „Unser dummer Pöbel meint“
;
10 варіацій на тему арієти „Unser dummer Pöbel meint“
;
Dix variations en sol majeur sur « Unser dummer Pöbel meint »",,"WorldCat
;
VIAF
:
180637841
;
BNF
:
139151929",1784,,,,,
13174,La Plainte Indienne,"Ascher, Joseph",,IJA 39,G minor,1 (Larghetto),Romantic,Romantic,Piano,"https://imslp.org/wiki/La_plainte_indienne_(Ascher,_Joseph)",Episode,".
1861 – Mainz:
Schott
Hofmeister's
Monatsbericht
(1861), p.47",,,,,,,,,
462515,Barcarolle,"Lyadov, Anatoly",Op.44,IAL 6,F-sharp major,1 barcarolle,Romantic,Romantic,Piano,"https://imslp.org/wiki/Barcarolle,_Op.44_(Lyadov,_Anatoly)",,".
1898",,,,,Varvara Semenovna Revkovskaya (Варвара Семеновна Ревковская),,,,
35601,3 Romances sans paroles,"Ravina, Jean Henri",Op.95,IJR 54,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/3_Romances_sans_paroles,_Op.95_(Ravina,_Jean_Henri)",,,,,,,à mes élèves Mesdemoiselles Caroline et Louise de Gommecourt,,,,
452128,Magnificat Fugue,"Pachelbel, Johann",P.278 ; T.122,IJP 130,D Dorian mode (D minor),1 fugue,Baroque,Baroque,Piano,"https://imslp.org/wiki/Magnificat_Fugue,_P.278_(Pachelbel,_Johann)","Magnificat primi toni, Magnificat-fugue, mode I (no.22)",".
1901 in
Compositionen zumeist Fugen über das Magnificat
(No.22)",,,,,,,,,
361601,Deux grandes Fantaisies sur les motifs les plus favoris de l'Opéra 'Guillaume Tell' de Rossini,"Czerny, Carl",Op.221,ICC 85,,2 fantasies,Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Grandes_fantaisies_sur_les_motifs_de_%27Guillaume_Tell%27,_Op.221_(Czerny,_Carl)",,,,,,1929/12,,,,,
56704,Allegro,"Mozart, Wolfgang Amadeus",K.3,IWM 21,B-flat major,1 piece,Classical,Classical,Piano,"https://imslp.org/wiki/Allegro_in_B-flat_major,_K.3_(Mozart,_Wolfgang_Amadeus)",,".
1878","Allegro en si bemol mayor, KV 3 (Mozart)
;
Allegro K 3
;
Allegro en si bémol majeur, KV 3","K 3
;
KV 3","BNF
:
139150623",1762,,,,,
226461,La lisonjera,"Chaminade, Cécile",Op.50,ICC 98,G-flat major,,Romantic,Romantic,Piano,"https://imslp.org/wiki/La_Lisonjera,_Op.50_(Chaminade,_C%C3%A9cile)",The Flatterer,".
1897 or before",,,,,,,,,
179562,Sonatina,"Karg-Elert, Sigfrid",Op.74,ISK 50,A minor,"2 movements
Allegro moderato (
= 120)
Andante molto, Tempo di Ciacona (
= 44)",Early 20th century,Romantic,Piano,"https://imslp.org/wiki/Sonatina,_Op.74_(Karg-Elert,_Sigfrid)",First Sonatina in A minor,".
1911",,,,1909 ?,Ernst Wähler,20 minutes,,,
82775,Caprice,"Backer-Grøndahl, Agathe",,IAB 4,G minor,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/Caprice_(Backer-Gr%C3%B8ndahl,_Agathe)",,".
1893",,,,,,,,,
02724,Près de la Mer,"Arensky, Anton",Op.52,IAA 41,,"6 pieces:
Andante sostenuto (E
♭
major)
Allegro vivace (G minor)
Moderato (D major)
Allegro moderato (G
♭
major)
Allegro scherzando (E
♭
minor)
Presto (E
♭
major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Pr%C3%A8s_de_la_mer,_Op.52_(Arensky,_Anton)",6 Esquisses pour le piano,".
1901 – Moscow:
P. Jurgenson
. Plate 25940",,,,1901,,,,,
319349,Polka brillante,"Spindler, Fritz",Op.53,IFS 26,D-flat major,1 polka,Romantic,Romantic,Piano,"https://imslp.org/wiki/Polka_brillante,_Op.53_(Spindler,_Fritz)",,".
1854 – Braunschweig: Meyer",,,,,,,,,
12255,Suite in F minor,"Handel, George Frideric",HWV 433,IGH 476,F minor,"5 movements:
Prélude
Allegro [Fuga]
Allemande
Courante
Gigue",Baroque,Baroque,Piano,"https://imslp.org/wiki/Suite_No.8_in_F_minor,_HWV_433_(Handel,_George_Frideric)",Suite No.8,".
1720 in
8 Great Suites
(No.8)",,,,,,,,,
03219,Suite,"Bach, Johann Sebastian",BWV 818a ; BC L 25,IJB 1250,A minor,"6 movements:
1. [....] Fort gai (Prélude)
2. Allemande
3. Courante
4. Sarabande
5. Menuet
6. Gigue",Baroque,Baroque,Piano,"https://imslp.org/wiki/Suite_in_A_minor,_BWV_818a_(Bach,_Johann_Sebastian)",,,,,,1720-22?,,,,,
05052,Ave Maria d' Arcadelt,"Liszt, Franz",S.183/2 ; LW.A216/2 ; R.68/2,IFL 29,,1 piece,Romantic,Romantic,Piano,"https://imslp.org/wiki/Ave_Maria_d%27Arcadelt,_S.183/2_(Liszt,_Franz)",,".
1865",,,,1862,"Alexander Wilhelm Gottschalg
(1827–1908)",5 minutes,,,
298565,Aus des Lebens Mai,"Lange, Gustav",Op.292,IGL 8,,"6 pieces
Schelmerei
Vielliebchen
Im Ballschmuck. Walzer
Auf dem Lande
Im Dämmerlicht
Ersehntes Glück",Romantic,Romantic,Piano,"https://imslp.org/wiki/Aus_des_Lebens_Mai,_Op.292_(Lange,_Gustav)","Sechs leichte Klavierstücke zum Vorspielen
Maytime of Life",".
1882 – Berlin:
Ries & Erler",,,,,,,,,
451408,"Ich ruf' zu dir, Herr Jesu Christ","Pachelbel, Johann",P.205 ; T.46,IJP 97,D minor,1 chorale prelude,Baroque,Baroque,Piano,"https://imslp.org/wiki/Ich_ruf%27_zu_dir,_Herr_Jesu_Christ,_P.205_(Pachelbel,_Johann)",,".
1903 or before",,,,,,,,,
14140,Divertimento No.1,"Herz, Henri",Op.15,IHH 15,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Divertimento_No.1,_Op.15_(Herz,_Henri)",,".
1820s?",,,,,Delfina di Komar,,,,
260645,L'enfant perdu!,"Ravina, Jean Henri",Op.70,IJR 19,,1,Romantic,Romantic,Piano,"https://imslp.org/wiki/L%27enfant_perdu!,_Op.70_(Ravina,_Jean_Henri)",Poésie funèbre pour le piano,".
1871 – Paris:
Heugel et Cie
/ Mainz:
Schott",,,,,à la mémoire de mon fils,,,,
03183,Piano Sonata No.22,"Beethoven, Ludwig van",Op.54,ILB 183,F major,"2 movements:
In tempo d'un menuetto (F major)
Allegretto - Più allegro (F major)",Classical,Classical,Piano,"https://imslp.org/wiki/Piano_Sonata_No.22,_Op.54_(Beethoven,_Ludwig_van)",,".
1806","Piano Sonata No. 22
;
Klaviersonate Nr. 22
;
Pianoarentzako 22. sonata
;
Sonate pour piano nº 22 de Beethoven
;
Sonata per pianoforte n. 22
;
ピアノソナタ第22番
;
Pianosonate nr. 22
;
Sonata fortepianowa nr 22 Beethovena
;
Соната для фортепиано № 22
;
Соната для фортепіано № 22
;
Sonata per a piano núm. 22
;
Σονάτα για πιάνο αρ. 22
;
피아노 소나타 22번
;
第22號鋼琴奏鳴曲 (貝多芬)
;
Sonata para piano n.° 22 (Beethoven)
;
סונאטה לפסנתר מספר 22","Piano Sonata No. 22 in F Major, Op. 54
;
Pianosonate nr. 22 (Beethoven)
;
סונטה לפסנתר 22","Wikipedia
;
GND
:
300016794
;
BNF
:
139082207",1804,,8-14 minutes (depending on repeats taken),,,
136263,2 Mazurkas,"Chopin, Frédéric",B.16,IFC 46,,"2 pieces:
Mazurka in G major
Mazurka in B
♭
major",Romantic,Romantic,Piano,"https://imslp.org/wiki/2_Mazurkas,_B.16_(Chopin,_Fr%C3%A9d%C3%A9ric)",,".
1826 – Warsaw: W. Kolberg",,,,1825-6,,,,,
11010,Irish Suite No.1,"Godowsky, Leopold",,ILG 15,,4,Early 20th century,Romantic,Piano,"https://imslp.org/wiki/Irish_Suite_No.1_(Godowsky,_Leopold)",,".
1915",,,,,,,,,
483775,Te Deum laudamus,"Buxtehude, Dietrich",BuxWV 218,IDB 162,E minor,"prelude, 2 versus:
Prelude
2 Versus, 4 parts
Versus 1
Te Deum laudamus (Herr Gott dich loben wir)
Te Martyrum candidatus laudat exercitus (Die theuren Märt'rer allzumal)
Tu devocto mortis æuleo (Du hat dem Tod zerstört sein Macht)
Versus 2
Pleni sunt cœli et terra (Dein göttlich Macht und Herrlichkeit)",Baroque,Baroque,Piano,"https://imslp.org/wiki/Te_Deum_laudamus,_BuxWV_218_(Buxtehude,_Dietrich)",,".
1875-76",,,,,,,,,
56702,Suite,"Mozart, Wolfgang Amadeus",K.399 ; K⁶.385i,IWM 534,C major,"3 movements
Ouverture (Grave - Allegro)
Allemande (Andante)
Courante (Allegretto)",Classical,Classical,Piano,"https://imslp.org/wiki/Suite_in_C_major,_K.399/385i_(Mozart,_Wolfgang_Amadeus)",,,,,,1782,,,,,
448608,Piano Sonata,"Wieniawski, Józef",Op.22,IJW 20,B minor,"4 movements (1st version) / 3 movements (2nd version)
1st version
I. Allegro con brio
II. Andantino (G major)
III. Allegro brillante (F
♯
minor)
IV. Allegro tumultuoso (B minor)
2nd version
I. Allegro con brio
II. Andante (G major)
III. Allegro tumultuoso (B minor)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata,_Op.22_(Wieniawski,_J%C3%B3zef)",,".
1863 – Girod  (1st version)",,,,1858 ca. (1st version); 1890 ca. (2nd version),,,,,
451972,Magnificat Fugue,"Pachelbel, Johann",P.346 ; T.185,IJP 193,G Mixolydian mode (G major),1 fugue,Baroque,Baroque,Piano,"https://imslp.org/wiki/Magnificat_Fugue,_P.346_(Pachelbel,_Johann)","Magnificat octavi toni, Magnificat-fugue, mode VIII (no.3)",".
1901 in
Compositionen zumeist Fugen über das Magnificat
(No.85)",,,,,,,,,
12689,Piano Sonata No.6,"Scriabin, Aleksandr",Op.62,IAS 34,,"1 movement:
Modéré: mysterieux, concentré",Romantic,Romantic,Piano,"https://imslp.org/wiki/Piano_Sonata_No.6,_Op.62_(Scriabin,_Aleksandr)",,".
1912","Piano Sonata No. 6
;
ピアノソナタ第6番 (スクリャービン)
;
sonate pour piano nº 6 op. 62
;
Sonata per pianoforte n. 6 (Skrjabin)
;
第六号钢琴奏鸣曲 (斯克里亚宾)
;
피아노 소나타 6번
;
Klaviersonate Nr. 6 (Skrjabin)
;
Sonata para piano n.º 6 (Skriabin)",sonate pour piano nº 6 de Scriabine,"Wikipedia
;
BNF
:
14805013n",1911,,11-12 minutes,,,
82727,Les regrets,"Kalkbrenner, Friedrich Wilhelm",Op.36(c),IFK 68,F minor,2,Romantic,Romantic,Piano,"https://imslp.org/wiki/Les_regrets,_Op.36_(Kalkbrenner,_Friedrich_Wilhelm)",Elegie harmonique,,,,,,,,,,
94550,6 Stücke,"Sinding, Christian",Op.74,ICS 81,,"6 pieces:
Prélude
Alla Marcia
Intermezzo
Caprice
Etude
Variationen",Romantic,Romantic,Piano,"https://imslp.org/wiki/6_St%C3%BCcke,_Op.74_(Sinding,_Christian)",,".
1905",,,,,,,,,
259999,Canon in F minor,"Chopin, Frédéric",B.129a,IFC 14,F minor,fragment,Romantic,Romantic,Piano,"https://imslp.org/wiki/Canon_in_F_minor,_B.129a_(Chopin,_Fr%C3%A9d%C3%A9ric)",,,"Канон в фа миноре
;
Canone all'ottava",,,1839,,,,,
112338,Deux Nocturnes,"Chopin, Frédéric","Op.32 ; CT 116, 117",IFC 68,,"2 pieces:
Andante sostenuto (B major)
Lento (A-flat major)",Romantic,Romantic,Piano,"https://imslp.org/wiki/Nocturnes,_Op.32_(Chopin,_Fr%C3%A9d%C3%A9ric)",,".
1837 November (Wessel)","녹턴, Op. 32
;
Nocturnes, Op. 32
;
夜曲Op. 32 (蕭邦)
;
2 Notturni op. 32
;
Nocturns op. 32
;
Nokturny op. 32
;
Nocturnes, opus 32
;
المقطوعة الحالمة Op.32
;
Νυχτερινά, Op. 32
;
Nocturne, Op. 32 (Chopin)
;
Nocturnos, op. 32",المقطوعة الحالمة Op.٣٢ (شوبان),"WorldCat
;
Wikipedia
;
LCCN
:
no2001061988",1836-37,Madame Camile de Billing (Kamila Billing de Courbonne),,,,
121071,Potpourri brilliant on favorite themes from Spohr’s 'Faust',"Czerny, Carl",Op.218,ICC 158,,,Romantic,Romantic,Piano,"https://imslp.org/wiki/Potpourri_brilliant_on_Themes_from_Spohr%E2%80%99s_Faust,_Op.218_(Czerny,_Carl)",,".
1830 or earlier",,,,,,,,,
